path,filename,label,original_split,label_index,sha256
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Testing\pituitary_tumor\image(8).jpg,image(8).jpg,pituitary_tumor,Testing,3,dcd95c0c2665cd7680ba5d36c4f46df84c24faec7bb5b4bd31d164a04703d9a5
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\meningioma_tumor\m (79).jpg,m (79).jpg,meningioma_tumor,Training,1,ebd98af7354606bc7111fb8bbc09543bdf27bc0e05bf938a549c008d2085d763
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\glioma_tumor\gg (334).jpg,gg (334).jpg,glioma_tumor,Training,0,0e4ac53dd6ecee3d2eb649271b47248a45c72f796c05742f5db1f893877e809e
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\pituitary_tumor\p (248).jpg,p (248).jpg,pituitary_tumor,Training,3,fa40724a7210c30ee619fb77af6ada50148e70e55216d40bfbaf8e9c3f7ae462
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\no_tumor\image(253).jpg,image(253).jpg,no_tumor,Training,2,2779f5d9e97ff8a2283e34ab88a7e6de22c561367944758e2796f427fd2dddd9
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\no_tumor\image(32).jpg,image(32).jpg,no_tumor,Training,2,1d489fd63322dff8146dfb442c512362d2d42d5f4e44b90414202ac0abe5f97e
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\no_tumor\image(209).jpg,image(209).jpg,no_tumor,Training,2,682871b3c7250e0c56b28688840ac15101ec847a891e0b2d2cb72f0436ff8073
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\glioma_tumor\gg (335).jpg,gg (335).jpg,glioma_tumor,Training,0,1b1df8c2b4e4eced7e40cf9d04dde675e894072b17d49ecb1f59b773a91276e3
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\pituitary_tumor\p (222).jpg,p (222).jpg,pituitary_tumor,Training,3,1f1a1c219300acd07d315313dec59994139b88061b373e050a8acf8f77ebf39c
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\glioma_tumor\gg (293).jpg,gg (293).jpg,glioma_tumor,Training,0,bc073273b6dcd777610467e40f99add923081ca73f7efe9b4a4a4c0887d55b67
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\meningioma_tumor\m1(53).jpg,m1(53).jpg,meningioma_tumor,Training,1,0e1e504b3f86b954964d8614f13b726a96fe12a9b7a1a9712c0424f96d2e9b03
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\no_tumor\image(201).jpg,image(201).jpg,no_tumor,Training,2,17bd1588f84aafbccb846c974ae1f24cef5ce6f0fc0f32a4417af50bfe9f52cd
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\glioma_tumor\gg (89).jpg,gg (89).jpg,glioma_tumor,Training,0,ccfb683bfc5feb582712df23c57b83583f702a66f98e0ae7c8ea99b256898631
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\glioma_tumor\gg (95).jpg,gg (95).jpg,glioma_tumor,Training,0,6850c8b0ad180c1fbe4e6fcca5695912e586fe9ce63b701d297790a4c85eab60
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\no_tumor\image(191).jpg,image(191).jpg,no_tumor,Training,2,7adb02dafa127d16b635a76df10314f68ded12fa7a20457e4d666d2873a2130f
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\meningioma_tumor\m3 (166).jpg,m3 (166).jpg,meningioma_tumor,Training,1,8c1a5737466330c20f01adaa7979d51c52634dba850e0e7bd5bae4b2a9eb4b7e
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\meningioma_tumor\m (49).jpg,m (49).jpg,meningioma_tumor,Training,1,680ef75a2d3f76c310b70ee9e10dadc3b1dbfad061489f3eff6994bbadadf864
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Testing\pituitary_tumor\image.jpg,image.jpg,pituitary_tumor,Testing,3,93ea61a9b554ed27c76d767221bba1d6c8b24a03521aee53f4b822b89efa41b2
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\pituitary_tumor\p (240).jpg,p (240).jpg,pituitary_tumor,Training,3,c27c953b150b8cfa6c2820bac42a13a5d1b5b6420409973ba07a18542429afd5
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\pituitary_tumor\p (701).jpg,p (701).jpg,pituitary_tumor,Training,3,3f3d571c976b7767d1ee6f9b2992f6d7475c4307225491821501b18cd15bfabf
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\glioma_tumor\gg (166).jpg,gg (166).jpg,glioma_tumor,Training,0,f263e5c1b1139795586bb571418f429abe2f7f1805e9c7620948228d39b99371
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\pituitary_tumor\p (116).jpg,p (116).jpg,pituitary_tumor,Training,3,6202045c980db4efd0747cf0ff62880374c25d24a1b528d35ee8815744ff432f
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\meningioma_tumor\m1(120).jpg,m1(120).jpg,meningioma_tumor,Training,1,560ac96dc3f7ab9c6b84af2cb3f6a4a7f510b75e865bafeaa95f705992846861
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\pituitary_tumor\p (307).jpg,p (307).jpg,pituitary_tumor,Training,3,0aacc35e5930ea8e75ec9e42976bc4f4d104ec618d8797e5c5c3341df88fee42
C:\Users\ransi\Documents\AA  SLIIT\Y2S1\IT2011 AIML\My First AI Project\EfficientNetB3_Project\data\brain_tumor_mri\Training\glioma_tumor\gg (798).jpg,gg (798).jpg,glioma_tumor,Training,0,375c3fb1f729f59cd2fe8eed4ba4766513ae74e9b754f5758050c3d464515f35
